,Description
541,"Commander Key Weedon (Gig Young), a pilot with the U.S. Navy, is sent to investigate when an S.O.S. emergency signal is spotted in the San Diego area near NAS North Island. He discovers it is the doing of a six-year-old boy, Grover Martin, whose Uncle Simon (Red Buttons), an airline pilot, gave the boy a blinker light as a gift.
The child's mother, Amy (Shirley Jones), is an attractive widow, and Key develops an immediate interest in her. Her three sons also enjoy the attention Key gives all of them. Amy has a blind spot when it comes to naval officers, however, not wanting a permanent relationship with one because they are constantly on the move. She had been a military child herself, and missed not having permanent ""roots"". Sure enough, Key gets orders to go to Italy, so Amy refuses his marriage proposal, though they love each other.
Uncle Simon has a new treat for Grover and his brothers. He ties them to helium balloons and flies them as one would a kite. Unfortunately, Grover cuts his tether and he goes floating for miles over San Diego. Large-scale rescue operations are quickly organized by the Navy, and it turns out to be Key himself who lowers himself on a rope ladder from a vy Navy blimp to rescue the boy. A grateful Amy then decides that wherever he goes, Key is the man for her."
542,"Vinnie Antonelli is a former mobster recently inducted into the Witness Protection Program with his wife, Linda. The two are under the watchful eye of Barney Coopersmith. Vinnie and Barney soon find common ground when both of their wives leave them due to their lifestyles. When he succeeds in getting Vinnie to a suburb in California and a private house, Barney has one more problem: he must make sure the jovial and sometimes mischievous Vinnie conforms to Witness Protection protocol until he is sent to Federal Court to testify against mob kingpins. Doing this is not as simple as it appears to be."
543,"Set in Ewedown, a fictitious village in Dorset, England. Tamara Drewe, a young and attractive journalist, returns home with the intention of selling her now-deceased mother's house which she has inherited, and in which she grew up. Locals are amazed at the improvement in her appearance after she had a rhinoplasty while away. Andy had been interested in her when she was a girl, and when he sees her now it is clear he is attracted to her.
Across the valley is a neighbour's home where authors retreat to work on their stories. The owner, Nicholas, is a prolific crime novelist and a serial philanderer, while his wife Beth provides food, lodging, and encouragement for her patrons. At one point Nicholas embarks on an affair with Tamara, after she finishes with rock-band drummer Ben. Andy has been asked by Tamara to work on the house so she can sell it, and he becomes aware of the affairs, as do two local teenage schoolgirls (Jody and Casey) who cause some havoc due to their childish jealousy of Tamara.
Jody is infatuated with Ben, and when he leaves Ewedown after Tamara's affair, she uses her wiles to lure him back. Eventually her deceit is discovered and she receives a hard dose of reality. In a strange turn of events, Nicholas is killed somewhat accidentally by stampeding cows. Beth's friend (Glen), a Thomas Hardy scholar who had become infatuated with her over the months he spent there, reveals his love for her despite feeling guilty about Nicholas' demise, and she easily persuades him to remain at the retreat with her. By this time the true love of Andy and Tamara brings them together. Tamara then decides to stay in Ewedown after all."
544,The film stars Prem Chopra as Arjun Kapoor's (Vickrant Mahajan) grandfather. He (Prem) wants someone to come in his grandson's life who would change his life completely. Arjun is very strict by nature and changes his driver five times a month. So by this behaviour of his Prem becomes upset. But suddenly a female driver Tanya (Kainaz Motivala) comes into his life and the whole story changes respectively. At last Arjun marries the female driver and the story ends successfully.
545,"Young Jimmy Dolan, who sounds like he's about to burst into tears any minute throughout the film, loves his friends Mike the horse and Corky the dog. While delivering newspapers on his route one day, Mike meets newcomer Colonel Whitley, a famous Kentucky horse breeder who has just leased a horse training farm in the area. Jimmy, a horse racing buff, eagerly introduces himself to the colonel and his horse trainer, James Spencer, and asks if he can watch the colonel's horses work out. The next morning, Spencer gives Jimmy and his friend Speck a tour of the stables. When Jimmy boasts that Mike could beat the colonel's thoroughbreds, the colonel gruffly insults Mike's ability, causing Jimmy to challenge him to a race. After Mike nearly beats his reigning champion, the colonel, humbled, apologizes and invites Jimmy to breakfast. At the dining table, Jimmy relates the story of how his uncle Joe bought Mike from a famous horse breeder after the man's daughter, Mike's owner, unexpectedly died. Jimmy is saving money from his paper route to pay his uncle for the horse. As Jimmy breakfasts with the colonel, a letter arrives at the Dolan house from his uncle, informing the boy that he plans to sell Mike to a racing stable for $700. When Jimmy, who has only saved $200, learns of his uncle's intentions, his sympathetic sister Erin suggests he make the horse unappealing to his prospective buyers. The next morning, when the representatives from the stable arrive to inspect Mike, Jimmy coats the horse with mud and instructs him to act lame. The stablemen see through the ruse, however, and while the boy is at school they return to claim the horse. At his new home, Mike refuses to eat or train, and when the stablemen inform his new owner, movie star Kitty Tremaine, that the horse is lonesome for Corky, she decides to visit the Dolan house and buy the dog. When Kitty learns how heartbroken Jimmy is over Mike's loss, she agrees to sell back the horse, and to finance the deal, Jimmy offers Spencer half ownership in Mike. After Spencer and Jimmy become partners, Spencer warns Jimmy to avoid Erin's beau, William ""Sandy"" McKay, a jockey who was disbarred for allegedly throwing a race. When Jimmy questions Sandy about the allegations, Sandy replies that he was innocent but never defended himself against his accusers. Satisfied with Sandy's explanation, Jimmy asks him to ride Mike in the horse's first race at Santa Anita. Meanwhile, a syndicate of gamblers pools its resources to bet on Speed Demon, who they deem to be a sure winner in the race. When Mike wins the race, he upsets the syndicate's plans and makes headlines as ""The Great Mike."" Spencer and Jimmy then decide to enter Mike in a handicap race, and when the syndicate learns of their plans, it hires Doc Slagle and his brother Bill to put the horse out of commission. One night, the pair sneak into Mike's stable, armed with a hypodermic needle filled with poison. Corky springs to Mike's defense, and when Jimmy hears the dog's growls coming from the barn, he calls Spencer for help. By the time Spencer arrives, however, the Slagles have killed Corky and fled, leaving behind the unused hypodermic needle bearing their fingerprints. Grieving over Corky's loss, Mike again refuses to train or eat, forcing his withdrawal from the race. One day, after the Slagles have been arrested for their crime, Junior, Jimmy's friend, appears at the stable with news that his family is to be transferred out of state. Junior offers to sell Jimmy Corky's brother Mickey, and when Mickey and Mike begin to cavort, Jimmy realizes that Mike is ready to race again. Spencer and Jimmy enter Mike in a race against the colonel's champion horse, and when Mike wins the race, he earns the colonel's admiration and a generous purse, which Jimmy uses to finance a newsboys' clubhouse. Carl ""Alfalfa"" Switzer make a rare post Little Rascals appearance as Jimmy's dim-witted friend, Speck. And that's about what he is. Switzer's dialogue consists of little more than saying ""Gee willikers"" or words to that effect over and over and over again and grinning like he's still 8 years old. He was 17 when this picture was made and seems to be sober, which was a rare thing for Alfalfa after he out grew the Little Rascals series. Shame to see a former leading man reduced to this level."
546,"A college freshman Ramsy, played by Corey Haim experiences love for the first time in the 1960s when he asks out Joy, played by Ami Dolenz."
547,"Cyrus Norman was a millionaire who lived in the Louisiana bayous with his mistress Miss Lu (Gale Sondergaard). Norman died ten years previous, and now an American Indian man (George Regas) paddles the executor of Norman's estate, Mr. Crosby (George Zucco), through alligator-infested waters to Norman's isolated mansion, where his will is to be read at midnight. At the mansion, Crosby meets Miss Lu, who lives there with a large black cat. When he removes the will from a safe, he discovers that someone has tampered with it.
Crosby and Miss Lu are joined by Norman's survivors: Joyce Norman (Paulette Goddard), Fred Blythe (John Beal), Charles Wilder (Douglass Montgomery), Cicily (Nydia Westman), Aunt Susan (Elizabeth Patterson), and Wally Campbell (Bob Hope). As the group gathers in the parlor to read the will, an unseen gong rings seven times. According to Miss Lu, this means that only seven of the eight people present will survive the night.
Norman's will has two parts. The first indicates that Joyce will inherit the entire estate, under one condition: Concerned about a streak of insanity in the family's blood, Norman stipulated that his heirs must remain sane for the next 30 days. If Joyce loses her sanity during that time, the heir will be determined from the second part of the will. This arrangement raises concerns about Joyce's safety, since other family members can increase their chances of inheriting by murdering her or driving her insane.
After the reading, Crosby informs everyone that they will have to stay overnight; Miss Lu warns them of spirits in the house; and a security guard found prowling outside claims that a murderer called ""The Cat"" has escaped from the nearby insane asylum. In the parlor, Crosby tries to warn Joyce about something, but a hidden doorway opens in the wall and someone pulls him into the space behind it. Joyce becomes frightened when everyone except Wally believes she imagined this.
Amid suspicion and accusations, Miss Lu gives Joyce a letter from Norman that Joyce and Wally use to find a diamond necklace. Joyce puts the necklace under her pillow in Norman's room, but after she falls asleep, a hand reaches out from the wall, terrifies her, and takes the necklace. At this point, Joyce is almost out of her mind with fear and confusion, but Wally finds a movable wall panel near her bed and opens a hidden door leading to a secret passageway. Crosby's dead body falls out from behind the door.
To help Joyce recover from her fright, Wally chats with her in the parlor. When he leaves to fetch some liquor, he hears something in Norman's room, opens the hidden door, and explores the passageway. Meanwhile, Joyce sees the door in the parlor as it opens. When Wally calls to her, she hears him through the passageway and enters it to find him. Once she is inside, someone closes the door.
With no exit, Joyce explores the passageway, walking past a dark cranny where the security guard is hiding. The Cat also walks past the guard, who stops him and takes the necklace from him, but the Cat stabs the guard in the back and follows Joyce, who has discovered a door leading outside. After the Cat chases Joyce into a shed and threatens her with a knife, Wally arrives and calls him ""Charlie"", having found the second part of the will in Charles's coat. Charles removes his Cat mask, pins Wally to the wall with his knife, and begins to strangle Joyce, but Miss Lu arrives with a shotgun and kills him. The next day, Wally and Joyce explain the story to newspaper reporters and unofficially announce their engagement."
548,"The story begins with Surya (Ravi Teja) who owns a gym centre and he also has a good friend Sriram (Srikanth). Surya is in love with his friend’s sister Meghna (Deeksha Seth) and after some cat and mouse games, she also falls in love. After a while, Sriram goes to Saudi for a job and there he falls in love with Vaishnavi (Bhavana).
The story takes a turn when Surya goes to Saudi to celebrate the birthday of Sri and is shocked when the Saudi police arrest Sriram on charges of murdering Vaishnavi. He is sentenced to death. The only thing Surya can do is to get the signature from Vaishnavi’s parents to acquit Sriram. But her father is Raja Goud (Pradeep Rawat), the bad guy whom Surya has been fighting all along. What happens from there forms the rest of the story."
549,"Naren Singh maan a young man from Chandigarh loses his entire family in a brutal terror attack planned by Pakistani terrorists. Lonely and angst ridden he travels to Bangkok on a job as a waiter in a 3 star hotel, where he meets Kareem Usmaani a Pakistani national who is hired in the same hotel as a security officer. Full of hate and anger, Naren is now forced to live with his worst enemy who later turns out to be his only friend philosopher and saviour as the story unfolds. Will Naren forgive Kareem for the deeds of those who tread on evil paths? Will he hold on to his hate? Or will he choose the path of mercy and forgiveness is the bedrock on which this tale of love hate and brotherhood is told..."
550,"Bo Hooper (Lewis), a clown, finds himself unemployed when the circus where he works suddenly closes. He winds up living with his sister (Susan Oliver), against the wishes of her husband Robert (Roger C. Carmel). From there he goes from job to job, wreaking havoc along the way. He finally finds some stability as a postal worker, until he finds out that his boss is his girlfriend's father. The father hates all mail carriers because his daughter's ex-husband was one, so he tries to wreck Bo's life, but Bo overcomes the odds and succeeds not only at work, but at impressing the father."
551,"Make-up artist Sammy (Louis Koo) is hired by Dream (Yan Ni) as the director of a cosmetic company with Claire (Cecilia Cheung) being the only colleague who is willing to assist him. Sammy invites Arnold (Donnie Yen), a fellow make-up artist, to join him. Though Arnold might appear to be a woman’s magnet, his heart still lingers with his first love Mona (Carina Lau), a frustrated writer. A minor incident in the new product commercial ties the friendship among Sammy, Arnold and the yacht billionaire Syd (Chapman To). Syd meets Claire and aims to pursue her. Having grown up in a poor family, Claire seizes this as a golden opportunity to live a prosperous life and asks Sammy for help to fulfill her dream, without realizing that she has fallen in love with Sammy."
552,"Brink (Sir Cedric Hardwicke) has recently taken Pud's (Bobs Watson) parents in an auto wreck. Brink later comes for Gramps (Lionel Barrymore). Believing Brink to be an ordinary stranger, the crotchety old Gramps orders Mr. Brink off the property. Pud comes out of the house and asks who the stranger was. Gramps is surprised and relieved that someone else could see the stranger; he was not merely a dream or apparition.
Pud tells Gramps that when he does a good deed, he will be able to make a wish. Because his apples are constantly being stolen, Gramps wishes that anyone who climbs up his apple tree will have to stay there until he permits them to climb down. Pud inadvertently tests the wish when he has trouble coming down from the tree himself, becoming free only when Gramps says he can.
Pud's busybody Aunt Demetria (Eily Malyon) has designs on Pud and the money left him by his parents. Gramps spends much time fending off her efforts to adopt the boy.
Brink takes Granny Nellie (Beulah Bondi) in a peaceful death just after she finishes a bit of knitting. When Mr. Brink returns again for Gramps, the old man finally realizes who his visitor is. Determined not to leave Pud to Demetria, Gramps tricks Mr. Brink into climbing the apple tree. While stuck in the tree, he cannot take Gramps or anyone else. The only way anyone or anything can die is if he touches Mr. Brink or the apple tree.
Demetria plots to have Gramps committed to a psychiatric hospital when he claims that Death is trapped in his apple tree. Gramps proves his story first by proving that his doctor, Dr. Evans (Henry Travers), can not even kill a fly they have captured. He offers further proof of his power by shooting Mr. Grimes (Nat Pendleton), the orderly who has come to take him to the asylum; Grimes lives when he should have died.
Dr. Evans is now a believer, but he tries to convince Gramps to let Death down so people who are suffering can find release. Gramps refuses, so the doctor arranges for the local sheriff to commit Gramps while Pud is delivered to Demetria's custody. With the help of his housekeeper (Una Merkel), Gramps tricks both of them into believing they are scheduled to go with Mr. Brink when he comes down from the tree. They beg Gramps to convince Brink otherwise, and Demetria vows never to bother Gramps or Pud again.
Gramps realizes that sooner or later he will have to let Brink down; Death is an unavoidable part of life. He tries to say goodbye to Pud, who reacts angrily and tries to run away. Mr. Brink sees Pud in the yard and dares him to climb the tree. Pud gets over the fence Gramps has had built around the tree, but falls and is crippled for life. Distraught, Gramps lets Death down from the tree. He takes both Gramps and Pud, who find they can walk again. In the final scene, they walk together up a beautiful country lane and hear Granny Nellie calling to them from beyond a brilliant light."
553,"The story unfolds in Melbourne, Australia with two spoiled rich brothers and best friends Robby (Amrinder Gill), and Rolly (Honey Singh). Their businessman father is worried about the future of his irresponsible sons so he strikes a deal with them, by throwing the brats out of his house and sending them to Punjab so that they can understand the realities of life and importance of their roots and heritage. The film is about how these two spoiled brothers arrive in Punjab and learn to live with the struggle, whilst being challenged by their father to come up with Rs.30 lakhs in 30 days in order to inherit his wealth. Otherwise the wealth would be transferred to charity which would be maintained by their father's secretary."
554,"A love story of Lin Qi Zheng (Song Seung-Heon), who is from a rich family, and Zhou Yu (Yifei Liu) who is a smart and beautiful lawyer."
555,"Bajirao Singham (Ajay Devgn) gets transferred to Mumbai and he discovers that one of his team members (Mahesh) is found dead inside an ambulance with massive bags of money. Bajirao decides to unearth the truth behind it and in this process, he collides with a powerful and fraudulent religious leader, Satyaraj Chandar a.k.a. Babaji (Amole Gupte), who has high-profile connections with corrupt politicians.
During this period, Guruji (Anupam Kher), is killed by Babaji, even though Singham was present at the scene. He vows revenge. Because of this, he has to pretend that he has resigned in front of his family. Due to this his father asks him and his childhood friend, Avni (Kareena Kapoor), to come to their home town, Shivgarh. After some comic scenes, Singham and Avni, fall in love with each other. However, it is then revealed that Singham hasn't resigned and came to Shivgargh on a mission to get some evidences against Babaji.
When they get back to Mumbai, Babaji starts threatening Singham's family. He also harms all of Guruji's candidates, including Avni, because her brother is one of the candidates. Singham manages to save everyone but before they resign, one of Babaji's henchmen, Altaf (Pankaj Tripathi), wakes up from coma and testifies against him. Singham arrests Babaji and his left hand, Prakash Rao. However, some party workers execute an attack outside the court, killing the witnesses. This causes Babaji and Prakash Rao to receive bail. But after Babaji gets released, Singham goes to his house without wearing his police uniform and shoots at their buttocks to coerce them and the wounded Prakash Rao and Baba tell the truth.
A few weeks later, Guruji's party wins the elections. While being transported to jail, Prakash Rao and Baba once again threaten Singham. Suddenly, the van in which Prakash Rao and Baba are being transported in suddenly stops and the driver walks away. A water tanker crashes into the van and both of them are killed. Inspector Phadnis (Vineet Sharma) tells media that there was a brake failure, and the incident is deemed an accident."
556,"In post-World War II Allied-occupied Germany, French Army Captain Henri Rochard (Cary Grant) is given the task of recruiting a highly skilled lens maker, Schindler (Martin Miller). He is assigned American Lieutenant Catherine Gates (Ann Sheridan) as his chauffeur, much to their mutual discomfort (arising from several prior clashes). The only available transportation is a motorcycle which, due to Army regulations, only Catherine is allowed to drive; Henri has to ride in the sidecar. After several mishaps, the constantly quarreling couple arrive at their destination, Bad Nauheim.
At the hotel, bothered by back pain, Catherine warily accepts Henri's offer of a back rub. When she falls asleep, he tries to leave her room, but the door handle falls off, trapping him inside. He spends an uncomfortable night in a chair. In the morning, she refuses to believe his story. Unknown to him, the innkeeper's wife has replaced the knob, so, when he tells Catherine to see for herself how the door will not open, it does. Eventually, the innkeeper's wife comes to the room (forcing Henri to hide on the ledge outside the window) and explains everything to Catherine, but not before Henri falls off the ledge.
Later, Henri goes undercover to search for Schindler, now working in the black market. He refuses to let Catherine help him and tells her that if she sees him to pretend she does not know him. The black market is raided by the authorities, and he is rounded up with everyone else. When he asks her to vouch for his identity, she obeys his earlier order not to reveal that she knows him. While he is in jail, she finds Schindler, who is happy to leave Germany and ply his trade in France. Later, she apologizes to a furious Henri, and by the time they return to Heidelberg, they have fallen in love.
Red tape forces Henri and Catherine to be married first in a civil ceremony before they can each have their choice of ceremony: Army chaplain (Catharine) and church (Henri). Before they can consummate their marriage, Catherine is ordered to report immediately to headquarters in the morning; her unit has been alerted they are about to be shipped back to the United States. They subsequently learn that the only way Henri can get a visa to emigrate with her is under the War Brides Act as the spouse of an American soldier. After many misunderstandings, he is given permission to accompany her, but circumstances and Army regulations conspire to keep them from spending the night together.
When they try to board the transport ship, U.S. Navy sailors do not believe that Henri is a war ""bride."" He is forced to dress as a female Army nurse to get aboard. The deception works, but once underway, his disguise is discovered and he is arrested. Catherine manages to straighten out the situation, and they finally have some privacy - in the ship's brig."
557,"Peter LaFleur is the owner of Average Joe's Gymnasium, a small gym with only a few members. When he defaults on the gym's mortgage, it is purchased by his rival, the arrogant White Goodman, a fitness guru and owner of the Globo Gym across the street. Unless Peter can raise $50,000 in thirty days, White will foreclose on Average Joe's and demolish it to build a parking garage. Attorney Katherine ""Kate"" Veatch is working on the transaction for White. White unsuccessfully attempts to seduce her; she is repulsed but just says she does not date clients. She develops a close friendship with Peter.
Average Joe's employees Dwight and Owen and members Steve ""the Pirate"", Justin, and Gordon try to raise the money needed to save the gym. Gordon suggests that they enter a dodgeball tournament in Las Vegas with a $50,000 prize. They form a team with Peter and watch a 1950s-era training video narrated by dodgeball legend Patches O'Houlihan and a 12-year old boy named Timmy. They are soundly defeated by a Girl Scout troop in a local qualifying match but win by default when the Scouts are disqualified because of one member's steroid and beaver tranquilizer use.
White spies on Average Joe's using a hidden camera in a cardboard cutout of himself, and forms his own dodgeball team to defeat them. Peter is approached by the aging, wheelchair-bound Patches, who volunteers to coach the team. Patches's training regimen includes throwing wrenches at the team, forcing them to dodge oncoming cars, and constantly berating them with insults. Kate demonstrates skill at the game but declines to join the team as it would be a conflict of interest. Then White arranges for Kate to be fired from her law firm, imagining she will now date him. Enraged, but now free of conflict, she joins the Average Joe's team.
At the tournament in Las Vegas, Average Joe's suffers early setbacks but manages to advance to the final round against Globo Gym. The night before the match, Patches is killed by a falling sign. Peter expresses his anxiety that the team will lose and tells Steve that he is not a pirate, causing Steve to leave the team. Returning to his room, Peter encounters White, who offers him $100,000 for the deed to Average Joe's. The day of the final round, Justin leaves to help his classmate Amber with a cheerleading competition, leaving the team without enough members to compete. Peter has a chance encounter with Lance Armstrong, who talks him into rejoining his team. But he and Justin return too late; Average Joe's has already forfeited the match. Gordon finds a loophole in the rules: a majority of the judges can overturn the forfeiture. Chuck Norris casts the tie-breaking vote allowing the team to play.
After an intense game, Peter and White face off in a sudden-death match to determine the winner. Inspired by a vision of Patches, Peter blindfolds himself and is able to dodge White's throw and strike him, winning the championship and the prize money. White declares the victory meaningless, revealing that Peter agreed to sell Average Joe's to him the previous night, but Peter reveals that he used White's $100,000 to bet on Average Joe's to win; with the odds against them at 50 to 1, he collects $5 million. Because Globo Gym is a public company, he purchases a controlling interest in it, thus regaining Average Joe's, and fires White. Steve, now with a more normal appearance, returns to the group after Peter apologizes to him, only to return to his pirate persona.
Peter is shocked when a girlfriend of Kate's kisses her passionately, but Kate then reveals that she is bisexual and kisses Peter as well. Justin finds romance with Amber, while Owen begins dating Fran from the Globo Gym team. Peter opens youth dodgeball classes at a newly renovated Average Joe's. White returns to morbid obesity."
558,"Brahmasthram tells the story of a boatman, whose only daughter Sindhu is the victim of ragging and rape by some rich recalcitrant students in medical college. No one supports Sindhu as the culprits are from very rich families. Due to pressure from Sindhu and her father, Superintendent of Police Indrajith is appointed to investigate the case. How he wins the case in court forms the rest of the film.[2]"
559,"Miami police detectives Ernie, Louise, Ramon, and Doug (played by DeLuise, Pleshette, Avalos, and Reed), frustrated at their inability to convict the criminals they arrest, decide to set up a sting as a fencing operation to trap criminals in a pawn shop, recording the illegal transactions on the (then) new technology of videotape.
With less than helpful support from their captain (Davis), the trio decides to re-sell some of their stolen items to stay in business. Trouble follows as they run afoul of the local mob boss. Doug sees his car destroyed by a bomb (and laments ""I just had it washed""), he and the others have a shootout with gun runners at a waterfront condominium construction site, and they ultimately arrest the criminals en masse at a party."
560,"Polly Brewster (Daniels), a penniless Hollywood extra, inherits one million dollars from her recently deceased father. However, young lawyer Tom Hancock (Baxter) informs her that she cannot spend the money but must invest it. Her Uncle Ned Brewster (Sterling) arrives and in revenge for indignities his brother made him suffer, he offers Polly his entire fortune of $5 million on the condition that she spend the inherited million within 30 days or less. Polly gleefully sets about investing, gives a great ball and fashion show, and runs down a man with her car and has him sue for a large sum. However, when the deadline arrive, Uncle Ned proves to be penniless; there is no $5 million to be inherited. However, Polly finds that her investment in a motion picture company has yielded a handsome return, and she finds happiness with Tom."
561,"Set in 1895, Robert Cummings plays a con man, Sylvanus Hurley, who is trying to raise the selling price of land he owns by convincing the residents of Miami that a railroad is coming to town. Jerome Courtland plays the barefoot mailman, Steven Pierton, who leads Sylvanus along the beach from Palm Beach to Miami, and who is skeptical of Sylvanus's scheme. Terry Moore is a run-away teenager, Adie Titus, who joins Sylvanus and Steven on their walk by impersonating a child. John Russell plays Theron, a swamp gang leader who tries to carry Adie away. Will Geer plays Dan Paget, a newspaper editor and the mayor of Miami."
562,"William ""Bill"" Kluggs (Dan Dailey) is the first in his hometown of Punxsatawney, West Virginia, to enlist in the Army Air Forces after the attack on Pearl Harbor, making his father Herman (William Demarest), mother Gertrude (Evelyn Varden) and girlfriend Marge Fettles (Colleen Townsend) proud. The whole town sees him off. Willie tries to become a pilot but washes out, although he proves to be so proficient at aerial gunnery that, rather than being sent to Europe to fight, he is made an instructor and assigned to a base near his hometown. After two years in the same place, he is branded a coward by the townsfolk, even though he continually requests a transfer into combat.
He finally gets his chance when a gunner on a B-17 Flying Fortress bomber gets sick and Bill is allowed to take his place. The plane takes off for England, but owing to fog, is unable to land and runs low on fuel. The crew is ordered to bail out, but Bill is asleep and does not parachute out of the plane until it is over German-occupied France.
He is captured immediately by the local French Resistance unit, led by the beautiful Yvonne (Corinne Calvet). While there, he sees a secret German rocket launch, which is filmed by the French. He and the film are picked up by a British torpedo boat and taken to England. There, he passes the vital information and his eyewitness confirmation on to a series of important generals, first in London and then in Washington, D.C..
During the time he is in the bomber, France, England, and Washington, he is continuously wakened when he tries to sleep, and plied with liquor as a pick-me-up or to settle motion sickness. Bill finally collapses, exhausted. He is sent to a hospital to recuperate, under strict orders not to reveal what he has done, where a doctor mistakenly puts him into a psychopath ward. When the hospital attendants believe he is crazy and try to put him in a straitjacket, Willie escapes and heads home on a freight train.
Back home, because only four days have elapsed since he left Punxatawney, his parents and girlfriend don't believe his story either. Officers from the Pentagon arrive to return him to Washington to be decorated personally by the President of the United States."
563,"Well-to-do couple Dora and Charles Randolph are celebrating their golden wedding, and three generations meet at the Randolph country home. As the relatives gather, each reveals his or her personal quirks and shortcomings. Caught in the middle is family secretary Penny Fenton (Margaret Lockwood), who has the unenviable task of sorting and smoothing out the family's deep-set hostilities and jealousies so that a good time can be had by all.[2][3]"
564,"Gayetri lives with two close male friends, who she considers her brothers, by the names of Veeru (Dharmendra) and Dheeru (Vinod Khanna), who are small-time thieves, and con men, and are known to the local police. When Gayatri meets and falls in love with Police Inspector Arjun Thanghe (Rajinikanth), the duo are delighted and arrange her marriage with great pomp and ceremony.
Arjun is then assigned duties to a distant village, which is facing oppression at the hands of Raja Jaichand (Sadashiv Amrapurkar), who refuses to accept the Indian Government nor even acknowledge it, and rules the region like a dictator. Arjun attempts to set things right, but is killed in the process, and Gayetri loses her mind. Gayatri does find her way to contact her brothers, and is horrified to find them in the employ of the person who has killed her husband, none other than Mr. Jaichand."
565,"The film opens with Thiruthani (Bharath) beating up men who cause trouble to his sister for celebrating Diwali. Duraipandi (Rajkiran), an ex-military officer proudly watches the fight along with many others. However, Duraipandi becomes furious when Thiruthani refuses to save an athlete from having his leg broken despite his pleas for help. It is here that Thiruthani justifies his actions saying that everyone stood watching as his unconscious mother was left locked up in a burning building for fear that they would be killed by the local rowdies. Meanwhile, Thiruthani falls for Sugeesha (Sunaina), an orphan who goal in life is to marry a person with a large family.
Soon, Thiruthani gets involved in an accident causing severe damages to his skull. The treating doctor privately tells him that he would only live for another 6 months. Unable to bear the thought of his family being depressed upon his death, he becomes harsh with them believing this would make them hate him. Seeing this, Duraipandi advises that he should kill the local rowdies so that everyone can live peacefully and that he will not face jail as he is about to die. As time passes, Thiruthani becomes one of the most wanted criminals. Shocked at this news, the doctor informs Thiruthani that he lied only because of Duraipandi's request. Furious, Thiruthani advances on Duraipandi only to find out that he has lost one leg in the army. The climax shows Duraipandi taking the blame for the murders (as no one has seen Thiruthani) where he gets shot."
566,"Egomaniacal baseball slugger Elmer Kane is not only good, he enjoys telling everybody how good he is. A professional scout, Bert Wade, takes an interest in Elmer, who in turn takes an interest in Evelyn Corey, an attractive actress.
Wade cons the ballplayer into thinking the actress is falling for him, which inspires a home run from Elmer to win the big game."
567,"Charles Gravytrain (Tim Doiron) is a policeman in the community of Gypsy Creek, a present-day community whose appearance resembles the 1970s.[2] He and his partner Uma Booma (April Mullen) are attempting to arrest Jimmy Fish Eyes, blamed for the murder of several people including Gravytrain's father. During their quest for justice, Gravytrain and Booma are themselves blamed for the murders and are forced underground until they can escape their frameup. During this time, they become actors in a snuff film produced by Hansel Suppledick (Ryan Tilley).[3][4][5]"
568,"Two people live unlucky in love in Boston: Erin, whose activist boyfriend Sean has just walked out on their relationship to help a Native American tribe fight off a land development deal. Alan, a plumber struggling to pay off family obligations while pursuing a career as a marine biologist. Both deal with personal and professional problems and stumble through relationships, continually crossing one another's paths without ever truly meeting and realizing how perfect they are for one another. Time and time again one almost catches the other's eye, but circumstances intervene. After a series of ups and downs both of their budding relationships with others crash and burn, just in time for a chance meeting on the MBTA train heading to Wonderland station, on the outskirts of Boston."
